Model,Dimension,female,woman,girl,sister,she,daughter,mother,aunt,grandmother,male,man,boy,brother,he,son,father,uncle,grandfather,Female Terms_mean,Female Terms_std,Male Terms_mean,Male Terms_std,diff,diff_pvalue,diff_abs
flan-t5-small__conservative-L0,Warmth,-0.24253562503633305,-0.24253562503633305,-0.24253562503633305,-0.24253562503633305,-0.24253562503633305,-0.24253562503633305,-0.24253562503633305,-0.24253562503633305,-0.24253562503633305,-0.24253562503633305,-0.24253562503633305,-0.24253562503633305,-0.24253562503633305,4.123105625617661,-0.24253562503633305,-0.24253562503633305,-0.24253562503633305,-0.24253562503633305,-0.24253562503633302,2.7755575615628914e-17,0.24253562503633289,1.3719886811400706,-0.48507125007266594,0.3321949846529795,0.48507125007266594
flan-t5-small__conservative-L0,Competence,0.24253562503633305,0.24253562503633305,0.24253562503633305,0.24253562503633305,0.24253562503633305,0.24253562503633305,0.24253562503633305,0.24253562503633305,0.24253562503633305,0.24253562503633305,0.24253562503633305,0.24253562503633305,0.24253562503633305,-4.123105625617661,0.24253562503633305,0.24253562503633305,0.24253562503633305,0.24253562503633305,0.24253562503633302,2.7755575615628914e-17,-0.24253562503633289,1.3719886811400706,0.48507125007266594,0.3321949846529795,0.48507125007266594
flan-t5-small__conservative-L0,Sociability,-0.24253562503633422,-0.24253562503633422,-0.24253562503633422,-0.24253562503633422,-0.24253562503633422,-0.24253562503633422,-0.24253562503633422,-0.24253562503633422,-0.24253562503633422,-0.24253562503633422,-0.24253562503633422,-0.24253562503633422,-0.24253562503633422,4.123105625617661,-0.24253562503633422,-0.24253562503633422,-0.24253562503633422,-0.24253562503633422,-0.24253562503633422,0.0,0.24253562503633186,1.3719886811400712,-0.48507125007266605,0.3321949846529795,0.48507125007266605
flan-t5-small__conservative-L0,Morality,-0.24253562503633302,-0.24253562503633302,-0.24253562503633302,-0.24253562503633302,-0.24253562503633302,-0.24253562503633302,-0.24253562503633302,-0.24253562503633302,-0.24253562503633302,-0.24253562503633302,-0.24253562503633302,-0.24253562503633302,-0.24253562503633302,4.123105625617661,-0.24253562503633302,-0.24253562503633302,-0.24253562503633302,-0.24253562503633302,-0.24253562503633302,0.0,0.24253562503633289,1.3719886811400706,-0.48507125007266594,0.3321949846529795,0.48507125007266594
flan-t5-small__conservative-L0,Ability,0.24253562503633372,0.24253562503633372,0.24253562503633372,0.24253562503633372,0.24253562503633372,0.24253562503633372,0.24253562503633372,0.24253562503633372,0.24253562503633372,0.24253562503633372,0.24253562503633372,0.24253562503633372,0.24253562503633372,-4.12310562561766,0.24253562503633372,0.24253562503633372,0.24253562503633372,0.24253562503633372,0.24253562503633372,0.0,-0.24253562503633225,1.3719886811400706,0.48507125007266594,0.3321949846529795,0.48507125007266594
flan-t5-small__conservative-L0,Agency,-0.24253562503633308,-0.24253562503633308,-0.24253562503633308,-0.24253562503633308,-0.24253562503633308,-0.24253562503633308,-0.24253562503633308,-0.24253562503633308,-0.24253562503633308,-0.24253562503633308,-0.24253562503633308,-0.24253562503633308,-0.24253562503633308,4.123105625617661,-0.24253562503633308,-0.24253562503633308,-0.24253562503633308,-0.24253562503633308,-0.24253562503633308,0.0,0.24253562503633289,1.3719886811400706,-0.48507125007266594,0.3321949846529795,0.48507125007266594
flan-t5-small__conservative-L0,Status,-0.24253562503633308,-0.24253562503633308,-0.24253562503633308,-0.24253562503633308,-0.24253562503633308,-0.24253562503633308,-0.24253562503633308,-0.24253562503633308,-0.24253562503633308,-0.24253562503633308,-0.24253562503633308,-0.24253562503633308,-0.24253562503633308,4.123105625617661,-0.24253562503633308,-0.24253562503633308,-0.24253562503633308,-0.24253562503633308,-0.24253562503633308,0.0,0.24253562503633289,1.3719886811400706,-0.48507125007266594,0.3321949846529795,0.48507125007266594
flan-t5-small__conservative-L0,Politics,0.24253562503633289,0.24253562503633289,0.24253562503633289,0.24253562503633289,0.24253562503633289,0.24253562503633289,0.24253562503633289,0.24253562503633289,0.24253562503633289,0.24253562503633289,0.24253562503633289,0.24253562503633289,0.24253562503633289,-4.123105625617661,0.24253562503633289,0.24253562503633289,0.24253562503633289,0.24253562503633289,0.24253562503633289,0.0,-0.24253562503633302,1.3719886811400706,0.48507125007266594,0.3321949846529795,0.48507125007266594
flan-t5-small__conservative-L0,Religion,0.24253562503633289,0.24253562503633289,0.24253562503633289,0.24253562503633289,0.24253562503633289,0.24253562503633289,0.24253562503633289,0.24253562503633289,0.24253562503633289,0.24253562503633289,0.24253562503633289,0.24253562503633289,0.24253562503633289,-4.123105625617661,0.24253562503633289,0.24253562503633289,0.24253562503633289,0.24253562503633289,0.24253562503633289,0.0,-0.24253562503633302,1.3719886811400706,0.48507125007266594,0.3321949846529795,0.48507125007266594
flan-t5-small__conservative-L1,Warmth,-0.24289585962160276,-0.24624497896337935,-0.24646493661799942,-0.2443485385387984,-0.2386441403590677,-0.24335428635977183,-0.24427387978474382,-0.2521298652667387,-0.24531713670933114,-0.24199641500324218,-0.24529286210655474,-0.24211137968765947,-0.2438518217624413,4.123061774617883,-0.23935972553245444,-0.22990029481786925,-0.23539567197566638,-0.24147998151056568,-0.24485262469127037,0.0033816576390376944,0.24485262469126987,1.3711611680452462,-0.48970524938254023,0.3274523287565053,0.48970524938254023
