Model,Dimension,female,woman,girl,sister,she,daughter,mother,aunt,grandmother,male,man,boy,brother,he,son,father,uncle,grandfather,Female Terms_mean,Female Terms_std,Male Terms_mean,Male Terms_std,diff,diff_pvalue,diff_abs
flan-t5-small__liberal-L0,Warmth,-0.24253562503633305,-0.24253562503633305,-0.24253562503633305,-0.24253562503633305,-0.24253562503633305,-0.24253562503633305,-0.24253562503633305,-0.24253562503633305,-0.24253562503633305,-0.24253562503633305,-0.24253562503633305,-0.24253562503633305,-0.24253562503633305,4.123105625617661,-0.24253562503633305,-0.24253562503633305,-0.24253562503633305,-0.24253562503633305,-0.24253562503633302,2.7755575615628914e-17,0.24253562503633289,1.3719886811400706,-0.48507125007266594,0.3321949846529795,0.48507125007266594
flan-t5-small__liberal-L0,Competence,0.24253562503633305,0.24253562503633305,0.24253562503633305,0.24253562503633305,0.24253562503633305,0.24253562503633305,0.24253562503633305,0.24253562503633305,0.24253562503633305,0.24253562503633305,0.24253562503633305,0.24253562503633305,0.24253562503633305,-4.123105625617661,0.24253562503633305,0.24253562503633305,0.24253562503633305,0.24253562503633305,0.24253562503633302,2.7755575615628914e-17,-0.24253562503633289,1.3719886811400706,0.48507125007266594,0.3321949846529795,0.48507125007266594
flan-t5-small__liberal-L0,Sociability,-0.24253562503633422,-0.24253562503633422,-0.24253562503633422,-0.24253562503633422,-0.24253562503633422,-0.24253562503633422,-0.24253562503633422,-0.24253562503633422,-0.24253562503633422,-0.24253562503633422,-0.24253562503633422,-0.24253562503633422,-0.24253562503633422,4.123105625617661,-0.24253562503633422,-0.24253562503633422,-0.24253562503633422,-0.24253562503633422,-0.24253562503633422,0.0,0.24253562503633186,1.3719886811400712,-0.48507125007266605,0.3321949846529795,0.48507125007266605
flan-t5-small__liberal-L0,Morality,-0.24253562503633302,-0.24253562503633302,-0.24253562503633302,-0.24253562503633302,-0.24253562503633302,-0.24253562503633302,-0.24253562503633302,-0.24253562503633302,-0.24253562503633302,-0.24253562503633302,-0.24253562503633302,-0.24253562503633302,-0.24253562503633302,4.123105625617661,-0.24253562503633302,-0.24253562503633302,-0.24253562503633302,-0.24253562503633302,-0.24253562503633302,0.0,0.24253562503633289,1.3719886811400706,-0.48507125007266594,0.3321949846529795,0.48507125007266594
flan-t5-small__liberal-L0,Ability,0.24253562503633372,0.24253562503633372,0.24253562503633372,0.24253562503633372,0.24253562503633372,0.24253562503633372,0.24253562503633372,0.24253562503633372,0.24253562503633372,0.24253562503633372,0.24253562503633372,0.24253562503633372,0.24253562503633372,-4.12310562561766,0.24253562503633372,0.24253562503633372,0.24253562503633372,0.24253562503633372,0.24253562503633372,0.0,-0.24253562503633225,1.3719886811400706,0.48507125007266594,0.3321949846529795,0.48507125007266594
flan-t5-small__liberal-L0,Agency,-0.24253562503633308,-0.24253562503633308,-0.24253562503633308,-0.24253562503633308,-0.24253562503633308,-0.24253562503633308,-0.24253562503633308,-0.24253562503633308,-0.24253562503633308,-0.24253562503633308,-0.24253562503633308,-0.24253562503633308,-0.24253562503633308,4.123105625617661,-0.24253562503633308,-0.24253562503633308,-0.24253562503633308,-0.24253562503633308,-0.24253562503633308,0.0,0.24253562503633289,1.3719886811400706,-0.48507125007266594,0.3321949846529795,0.48507125007266594
flan-t5-small__liberal-L0,Status,-0.24253562503633308,-0.24253562503633308,-0.24253562503633308,-0.24253562503633308,-0.24253562503633308,-0.24253562503633308,-0.24253562503633308,-0.24253562503633308,-0.24253562503633308,-0.24253562503633308,-0.24253562503633308,-0.24253562503633308,-0.24253562503633308,4.123105625617661,-0.24253562503633308,-0.24253562503633308,-0.24253562503633308,-0.24253562503633308,-0.24253562503633308,0.0,0.24253562503633289,1.3719886811400706,-0.48507125007266594,0.3321949846529795,0.48507125007266594
flan-t5-small__liberal-L0,Politics,0.24253562503633289,0.24253562503633289,0.24253562503633289,0.24253562503633289,0.24253562503633289,0.24253562503633289,0.24253562503633289,0.24253562503633289,0.24253562503633289,0.24253562503633289,0.24253562503633289,0.24253562503633289,0.24253562503633289,-4.123105625617661,0.24253562503633289,0.24253562503633289,0.24253562503633289,0.24253562503633289,0.24253562503633289,0.0,-0.24253562503633302,1.3719886811400706,0.48507125007266594,0.3321949846529795,0.48507125007266594
flan-t5-small__liberal-L0,Religion,0.24253562503633289,0.24253562503633289,0.24253562503633289,0.24253562503633289,0.24253562503633289,0.24253562503633289,0.24253562503633289,0.24253562503633289,0.24253562503633289,0.24253562503633289,0.24253562503633289,0.24253562503633289,0.24253562503633289,-4.123105625617661,0.24253562503633289,0.24253562503633289,0.24253562503633289,0.24253562503633289,0.24253562503633289,0.0,-0.24253562503633302,1.3719886811400706,0.48507125007266594,0.3321949846529795,0.48507125007266594
flan-t5-small__liberal-L1,Warmth,-0.24291098239022693,-0.24630280207398858,-0.24645379976878407,-0.2444271370415652,-0.23863488226719418,-0.2432493278101098,-0.2443632147820036,-0.2521532747147321,-0.24535639011466762,-0.2419959150685307,-0.24531061882669913,-0.24192906161036556,-0.2439300922613795,4.12306151339867,-0.23922795305522093,-0.2299091149089861,-0.23542287853851054,-0.24148406816572351,-0.24487242344036358,0.003393423981905252,0.24487242344036156,1.3711540676198883,-0.48974484688072517,0.327411974600464,0.48974484688072517
flan-t5-small__liberal-L1,Competence,0.24257489933831225,0.24142782891574865,0.24221828183907929,0.24146903060314104,0.24993980233568913,0.24246881254228395,0.24055861969156253,0.23992054515810218,0.2408650291420814,0.2417393915946575,0.24354354123952626,0.2414954160595962,0.24233692251035904,-4.123096357267123,0.24191481866894762,0.24212043477940656,0.24491309868201525,0.2435898841666148,0.2423825388406667,0.0028012012421248355,-0.2423825388406666,1.3720399276267095,0.4847650776813333,0.33250973916481696,0.4847650776813333
flan-t5-small__liberal-L1,Sociability,0.2873298807760901,0.30737425495545995,0.30889318850727776,0.28386536431462045,0.2031237400189615,0.17559594405670442,0.24069324263747507,0.218996433825092,0.2546967805710803,0.2777776089034594,0.29426170326087775,0.23803279037141487,0.2969599381970133,-4.117350150463497,0.1444667985004937,0.13923267260654484,0.18297674066559383,0.2630730682953247,0.25339653662919576,0.044721373736637864,-0.25339653662919714,1.367325999599132,0.506793073258393,0.3103093299041381,0.506793073258393
flan-t5-small__liberal-L1,Morality,0.22322717038240258,0.20977026514202277,0.20484598929495343,0.22022226931177527,0.24592456461118328,0.2672964756894746,0.2336956531437349,0.22343083114686468,0.22618249400987822,0.23280710090000262,0.22130536318876162,0.25675000615494575,0.22185087876961299,-4.121330130948498,0.2903871530190107,0.31026963019388293,0.29479101394674617,0.23857327204324652,0.22828841252581,0.01786703955069102,-0.2282884125258098,1.3767532713999937,0.4565768250516198,0.3622285859816444,0.4565768250516198
flan-t5-small__liberal-L1,Ability,0.2520280866605697,0.2352562576024682,0.24001167357815983,0.2357646079118582,0.2738853905639604,0.24499563223312046,0.23460639426141142,0.23020978155539853,0.23581057078374956,0.24721931698746627,0.24690211417367933,0.23216443998077535,0.24011399767968591,-4.1229212364136085,0.24544925262493436,0.24195750176479772,0.2424418061464421,0.24410441190513144,0.24250759946118844,0.012667503743552778,-0.24250759946118844,1.3719401090266479,0.4850151989223769,0.33225259394214124,0.4850151989223769
flan-t5-small__liberal-L1,Agency,0.21834431763844525,0.22931414105612713,0.23246984229670936,0.2339052973638321,0.2757656035638687,0.2644097704324452,0.24048619626796502,0.22393657708699513,0.2266062672372039,0.21662728056153938,0.23502442881435368,0.2467528353905285,0.2330370634339005,-4.122244058293036,0.23995900588584035,0.2950881317361389,0.2706146489714719,0.2399026505556736,0.2383597792159546,0.018152040680674122,-0.23835977921595436,1.3733316186279885,0.47671955843190894,0.3408429671958365,0.47671955843190894
flan-t5-small__liberal-L1,Status,-0.2428818924832136,-0.24218139633105656,-0.24018479364348325,-0.24000539426425477,-0.22930564694659988,-0.2462320673435476,-0.24280476021404906,-0.2443726230566114,-0.24322979583074508,-0.24400996261045219,-0.24491542713610956,-0.2465668521757151,-0.2449379087049526,4.123076348267649,-0.23996371859650692,-0.24260088210253036,-0.2425593549276534,-0.24632387190016247,-0.24124426334595123,0.004592145401868402,0.24124426334595178,1.3724362728396342,-0.482488526691903,0.334855550170841,0.482488526691903
flan-t5-small__liberal-L1,Politics,0.23727506411527544,0.23671058280934004,0.23909089404334463,0.23749045130200663,0.24311367561500954,0.25822992034776593,0.2364611134715199,0.2361209534511417,0.2293916968890864,0.23872870983214153,0.2431313266149929,0.25155137112364345,0.23490490556207017,-4.122907249613729,0.2624669581298562,0.2556313216648154,0.25561341564304996,0.2269948889986686,0.2393204835604989,0.007478457599578251,-0.239320483560499,1.3730970413516554,0.4786409671209979,0.33884197072740385,0.4786409671209979
flan-t5-small__liberal-L1,Religion,0.24227262559600446,0.24595318818439801,0.24536344987724762,0.24582936978710548,0.24375532003587774,0.2354580738479421,0.24280122626477685,0.24514504105937304,0.24538575607023044,0.24237776474068257,0.24280425991984816,0.2418915768121981,0.24444259457381565,-4.123082632443814,0.23915109524970535,0.23342649051684705,0.24226843126551198,0.2447563686422596,0.24355156119143956,0.003124941734033324,-0.24355156119143834,1.3716251342191073,0.4871031223828779,0.330110563137345,0.4871031223828779
flan-t5-small__liberal-L2,Warmth,-0.24292624637250082,-0.25844912837647754,-0.23877382975572806,-0.25339404862107057,-0.22834131463964893,-0.22782350496322779,-0.2716379581601227,-0.29152692994904056,-0.22899090410911355,-0.25658905780999364,-0.233250856575218,-0.19594859403143666,-0.25123609965526233,4.122005416273623,-0.22108915877084107,-0.2327610651224008,-0.27837540926371807,-0.21089131009782006,-0.24909598499410338,0.020673606025991532,0.24909598499410363,1.3694798218789195,-0.49819196998820703,0.31887013059206704,0.49819196998820703
flan-t5-small__liberal-L2,Competence,0.24311567258166422,0.24255546463923264,0.24284717382374818,0.24261087568307083,0.24715324371887648,0.24802232481935801,0.24664988889473424,0.24390689415635922,0.24399015519980835,0.24799796471401894,0.24976969104658786,0.23060027970375008,0.2423096716538987,-4.1230154081532975,0.24953166118766915,0.23497875577588292,0.22298857975961936,0.24398711079502833,0.244539077057428,0.002018378748813567,-0.24453907705742686,1.3712757584567117,0.4890781541148549,0.3280917954163195,0.4890781541148549
flan-t5-small__liberal-L2,Sociability,0.34620249273186693,0.28463166685956165,0.3904668309053744,0.2569207375914658,0.33007371165787036,0.21182658023362147,0.2575541386449083,0.17173591055141263,0.4197057871987515,0.2337723171816854,0.24808525123149178,0.3052575498132635,0.18620877241317174,-4.09335432107525,0.1255213493272934,0.14639408174290136,-0.13638689383845634,0.3153840368290683,0.29656865070831473,0.07714830039427463,-0.2965686507083145,1.3483850379548024,0.5931373014166292,0.23207792446892328,0.5931373014166292
flan-t5-small__liberal-L2,Morality,0.17643444477563877,0.20923484123478137,0.2579375771553923,0.239346504145272,0.2628999065180388,0.28050486383986933,0.20613198974228372,0.1810919660196016,0.24410255257323948,0.19326035886084542,0.2189926979838737,0.35534205418255277,0.23467295974443522,-4.1195404479443365,0.2829829703446842,0.2706010029579601,0.25605331452406643,0.24995044334178873,0.22863162733379083,0.034873069359954746,-0.2286316273337922,1.3763135641992417,0.457263254667583,0.36148758148611304,0.457263254667583
